,ggroup,conm,tic,2020 Return,beta,alpha,2021 Return
44,4010,CAPITAL BANCORP INC,CBNK,-0.06132070419421747,1.213917971290161,0.07314210391399076,0.9497467072505824
45,4010,COMMERCE BANCSHARES INC,CBSH,0.03216938141943928,0.8071475496602996,0.11623052910270046,0.11111258710354074
46,4010,CBTX INC,CBTX,-0.16719524280838277,0.9009513607904579,-0.07151115603283378,
47,4010,COASTAL FINANCIAL CORP,CCB,0.2923076923076923,1.1611289174951163,0.4202295726048977,1.4852719457212211
48,4010,CAPITAL CITY BK GROUP INC,CCBG,-0.16468344189475898,1.0328168711725059,-0.05266030900713545,0.13677900560797004
49,4010,CNB FINANCIAL CORP/PA,CCNE,-0.3256195646057349,1.0963834795587328,-0.20572009056869628,0.30649165458880734
50,4010,CROSSFIRST BANKSHARES INC,CFB,-0.2513927397622628,0.8295817192192244,-0.16455184375931306,0.45327107176862824
51,4010,CF BANKSHARES INC,CFBK,0.270825576086795,0.23270823421531595,0.2837097311170789,0.257547855895287
52,4010,C&F FINANCIAL CORP,CFFI,-0.2850193505550494,0.8589934116939432,-0.1945341430244964,0.439062493686921
53,4010,CAPITOL FEDERAL FINL INC,CFFN,-0.044934000494543484,0.6367718060922711,0.018016417609226495,-0.014517147638405404
54,4010,CITY HOLDING CO,CHCO,-0.12505868267866777,0.7855387850683716,-0.0436750099474964,0.21293037851288094
55,4010,CHEMUNG FINANCIAL CORP,CHMG,-0.16265384802008784,0.9916005150515765,-0.055737705893584746,0.38700831101263655
56,4010,CIVISTA BANCSHARES INC,CIVB,-0.25098229504850245,1.2024725289168516,-0.11793765618082414,0.41204431934667046
57,4010,CITIZENS HOLDING CO,CIZN,-0.025508064219170012,0.0807432899246247,-0.03145341377269018,-0.10103237492017791
58,4010,COLUMBIA FINANCIAL INC,CLBK,-0.08146399474229345,0.5853228579552444,-0.024888456116812382,0.338885334926334
59,4010,CINCINNATI BANCORP,CNNB,0.1664226396048428,0.35217181298008504,0.19410915589316763,0.22464445108178746
60,4010,CONNECTONE BANCORP INC,CNOB,-0.22119302708650776,1.1767789199669545,-0.09133200355692417,0.6832716639063259
61,4010,CHOICEONE FINANCIAL SERVICES,COFS,0.0040667526409177415,0.20419074998132886,0.013417394711296549,-0.07488272535156876
62,4010,COLUMBIA BANKING SYSTEM INC,COLB,-0.07549649492866417,1.0950159782064453,0.04423353626021334,-0.03596281060868426
63,4010,MR COOPER GROUP INC,COOP,1.5392798697696095,1.0577134802773223,1.654387864218223,0.3788429449412448
